# read with
# >>> G=nx.read_weighted_edgelist(fh)
# source target data
R17 R16 0.17
R16 R15 0.25
R15 R7 0.04
R7 R6 0.37
R6 R5 0.08
R6 R5 0.15
R5 R4 0.06
R4 R2 0.34
R4 R3 0.13
R2 R3 0.12
R2 R3 0.21
R3 R7 0.21
R16 P1 0.27
P1 P2 0.14
P2 R8 0.04
R8 R7 0.13
R8 R9 0.35
P2 P3 0.35
P3 R9 0.1
R2 R1 0.19
R1 Z1 0.14
R1 R18 0.07
R18 Z1 0.17
R18 R11 0.22
R11 R10 0.12
R10 R9 0.04
R10 R12 0.13
R11 R12 0.12
R12 P4 0.08
P3 P4 0.19
P4 R13 0.2
R11 R13 0.1
R13 R14 0.12
R13 R14 0.19
Z1 Z2 0.29
Z2 Z5 0.09
Z5 Z6 0.13
Z2 Z3 0.44
Z5 Z4 0.3
Z3 Z4 0.04
Z4 Z6 0.28
Z3 Z6 0.26
G13 G12 0.33
G15 G14 0.13
G15 G16 0.16
G14 G16 0.1
G14 G12 0.24
G16 G18 0.2
G18 G17 0.07
G17 G19 0.14
G12 G11 0.32
G11 G10 0.06
G11 G22 0.06
G10 G23 0.04
G23 G22 0.04
G22 G19 0.3
G19 G20 0.15
G20 G17 0.11
G20 G21 0.06
G20 G25 0.2
G22 G25 0.3
G10 G9 0.24
G23 G24 0.23
G9 G24 0.14
G9 G8 0.32
G24 G26 0.16
G25 G26 0.16
G26 G27 0.04
G27 A6 0.16
A6 G28 0.15
G27 G28 0.04
G27 G29 0.07
G28 G31 0.1
G31 G30 0.06
G30 G32 0.06
G31 G32 0.04
G30 G29 0.02
G29 G8 0.15
A5 A6 0.51
A6 A7 0.47
A6 A9 0.19
A9 A10 0.08
A9 A8 0.06
A8 A7 0.24
A8 A12 0.28
A11 A12 0.21
G32 X13 0.45
G8 G6 0.31
G6 G7 0.04
G6 G33 0.22
G33 G4 0.22
G7 G1 0.06
G7 G5 0.1
G5 G2 0.02
G5 G4 0.13
G4 G3 0.09
G3 X14 0.15
X14 G2 0.06
G2 G1 0.13
G1 X13 0.08
G3 X3 0.32
X3 X14 0.33
X13 X12 0.28
X12 X15 0.1
X12 X4 0.1
X12 X5 0.11
X4 X5 0.06
X4 X3 0.13
X3 X2 0.1
X2 X16 0.16
X2 X1 0.08
X1 X16 0.07
X16 W6 0.04
W6 W4 0.19
W4 W5 0.16
W4 W3 0.07
W3 W8 0.11
W3 W2 0.09
W8 W7 0.07
W8 W9 0.09
W9 W2 0.07
W9 W10 0.07
W10 W11 0.08
W10 W1 0.29
W1 W2 0.28
W1 C5 0.05
C5 C3 0.64
C3 C4 0.24
C3 C2 0.22
C2 C1 0.47
C2 C1 0.41
C1 O10 0.18
O10 O11 0.04
O11 HP1 0.21
O10 O9 0.13
O9 O8 0.07
O8 O6 0.09
O6 O5 0.08
O6 O7 0.05
O11 O7 0.31
O11 B10 0.12
O11 O12 0.22
B10 B9 0.23
B10 B11 0.11
B10 B12 0.18
B11 B12 0.06
B11 B9 0.12
B12 O14 0.09
B12 O14 0.12
B12 B7 0.27
B9 B8 0.24
O12 O13 0.09
O12 K7 0.29
K7 K8 0.03
K8 O4 0.05
O4 O7 0.17
O2 O5 0.17
O2 O1 0.07
O1 A7 0.07
O1 O3 0.1
O2 O3 0.07
O1 K9 0.14
K9 O3 0.05
K9 K8 0.04
K9 K4 0.15
K8 K6 0.16
K7 DB 0.16
K4 K5 0.02
K5 K6 0.05
K6 DB 0.01
DB B15 0.11
B15 B14 0.02
B14 O13 0.32
B14 B13 0.11
B13 O14 0.1
B13 B7 0.16
B7 B5 0.12
B5 B6 0.07
B8 B6 0.07
B6 B7 0.02
B8 B16 0.24
B16 B4 0.14
B4 B3 0.05
B3 B2 0.07
B2 B1 0.19
B1 Y9 0.04
B2 Y9 0.19
Y9 Y8 0.06
Y9 Y8 0.1
K4 K3 0.14
K3 K2 0.04
K2 K5 0.09
K2 B15 0.21
K3 A4 0.44
A3 A2 0.3
Y8 Y5 0.13
Y5 Y2 0.46
Y5 Y4 0.03
Y4 Y3 0.09
Y4 Y6 0.15
Y6 Y8 0.06
Y6 Y7 0.06
Y7 Y3 0.14
Y3 Y2 0.07
Y2 Y1 0.16
Y7 P13 0.92
Y1 P12 0.14
Y1 P11 0.09
P11 P12 0.06
P11 P10 0.11
P12 P9 0.18
P9 P10 0.03
P10 A1 0.08
A1 A2 0.06
A2 P8 0.1
A1 P8 0.17
P9 P6 0.23
P6 P7 0.05
P7 P8 0.11
P7 P5 0.11
P5 P6 0.11
P5 P4 0.06
P12 P13 0.23
X5 X10 0.1
X5 X6 0.16
X6 X17 0.08
X6 X11 0.1
X11 X10 0.1
X10 X9 0.11
X9 X8 0.25
X8 X11 0.07
X8 W11 0.13
X11 X17 0.09
X7 W11 0.07
X1 X7 0.05
X17 X7 0.02
P1 P13 0.82
R19 R15 0.2
R19 R15 0.21
A12 BL 0.38
BL X9 0.26
BL X13 0.2
W5 W6 0.07
C1 HP1 0.11
A3 K3 0.1
A4 A5 0.1
A5 R14 0.1
A5 G14 0.1
G13 Z6 0.1
O5 HP2 0.13
